date,Air,Auto,Boat,Bus,Coach,Cruise,Total,Train
20160513,7795,5726,7793,10939,14535,0,62054,14559
20160514,8846,6582,8578,12572,16716,0,73047,14559
20160515,10409,6001,8046,11467,15234,0,66920,14559
20160516,9506,4963,7094,9476,12603,0,56696,14559
20160517,8278,5155,7268,9832,13085,0,60356,14559
20160518,8179,5346,7446,10208,13577,0,61753,14559
20160519,9152,5641,7715,10769,14325,0,68946,14559
20160520,9589,6407,8415,12232,16264,0,76258,14559
20160521,9088,6463,8466,12333,16406,0,76343,14559
20160522,10139,4807,6955,9187,12213,0,60710,14559
20160523,9070,5056,7178,9645,12835,0,61324,14559
20160524,8317,4975,7104,9493,12631,0,57583,14559
20160525,8763,6056,8096,11569,15379,0,64618,14559
20160526,9233,7089,9041,13542,17995,0,69844,14559
20160527,9554,6993,8952,13355,17750,0,69577,14559
20160528,9668,6491,8494,12402,16475,0,73309,14559
20160529,10312,5255,7362,10037,13338,0,62279,14559
20160530,9153,4505,6677,8608,11441,0,53567,14559
20160531,8282,4062,6270,7757,10312,0,49993,14559
20160601,8943,4508,6680,8608,11453,0,53374,14559
20160602,9429,5673,7744,10836,14399,0,63364,14559
20160603,9345,5957,8005,11382,15120,0,65009,14559
20160604,9350,5868,7924,11211,14897,0,71345,14559
20160605,10478,4023,6236,7689,10217,0,55027,14559
20160606,9676,4241,6435,8097,10776,0,52484,14559
20160607,8238,4493,6663,8574,11406,0,54571,14559
20160608,9176,4744,6896,9067,12045,0,57053,14559
20160609,9596,5191,7305,9917,13183,0,61919,14559
20160610,9744,5868,7925,11211,14904,0,64490,14559
20160611,9731,5984,8031,11432,15196,0,79064,14559
20160612,10361,4872,7012,9305,12372,0,63938,14559
20160613,10000,4545,6712,8676,11545,0,62772,14559
20160614,8193,4266,6457,8148,10833,0,53641,14559
20160615,8842,4349,6532,8302,11040,0,55817,14559
20160616,9740,5282,7388,10088,13417,0,62592,14559
20160617,8010,6032,8073,11518,15316,0,63541,14559
20160618,9758,6051,8090,11551,15365,0,72859,14559
20160619,10969,4676,6832,8931,11870,0,59480,14559
20160620,10094,4728,6881,9033,12006,0,55862,14559
20160621,9161,4975,7108,9509,12636,0,58450,14559
20160622,9382,5569,7648,10633,14136,0,65999,14559
20160623,9372,5905,7958,11279,14996,0,71439,14559
20160624,9805,6407,8415,12232,16261,0,70628,14559
20160625,9996,5905,7958,11279,14995,0,72644,14559
20160626,10974,4936,7070,9425,12531,0,60999,14559
20160627,10386,5083,7206,9714,12907,0,58318,14559
20160628,8765,4812,6957,9187,12222,0,55040,14559
20160629,9009,4812,6957,9187,12221,0,55283,14559
20160630,10609,5000,7128,9544,12698,0,58022,14559
20160701,10442,5920,7972,11313,15029,0,63463,14559
20160702,10197,6095,8130,11636,15475,0,74251,14559
20160703,10899,4987,7118,9526,12665,0,61305,14559
20160704,10334,5167,7282,9867,13121,0,61194,14559
20160705,8067,5286,7389,10088,13420,4172,61387,14559
20160706,9735,5602,7680,10700,14221,4172,64985,14559
20160707,10451,6004,8048,11467,15243,6686,70661,14559
20160708,10430,6591,8585,12589,16735,7451,74979,14559
20160709,10275,6427,8432,12266,16312,10751,77107,14559
20160710,11202,5661,7736,10820,14375,3753,66404,14559
20160711,10208,5518,7601,10530,14008,2652,63416,14559
20160712,9272,5896,7950,11262,14975,0,62149,14559
20160713,8851,5916,7966,11296,15018,0,61835,14559
20160714,10423,6507,8510,12437,16520,5064,72080,14559
20160715,10375,6319,8335,12061,16043,5064,70869,14559
20160716,9891,6348,8359,12113,16110,11492,76979,14559
20160717,11418,5179,7292,9885,13152,6379,66298,14559
20160718,9815,5410,7503,10327,13733,0,59717,14559
20160719,9349,5538,7621,10581,14057,4193,64232,14559
20160720,9463,5525,7609,10548,14031,2096,62169,14559
20160721,10167,5868,7924,11211,14900,0,62870,14559
20160722,10277,5925,7974,11313,15040,0,63313,14559
20160723,9825,6128,8162,11705,15559,14863,78968,14559
20160724,10946,5095,7216,9730,12937,5704,64646,14559
20160725,10212,5366,7466,10258,13628,2532,62402,14559
20160726,9411,5450,7542,10412,13840,3789,63360,14559
20160727,9395,5522,7607,10548,14021,4494,64485,14559
20160728,10501,6036,8078,11534,15326,7628,71856,14559
20160729,10186,5821,7879,11109,14780,7922,70510,14559
