date,air,auto,boat,bus,coach,cruise,total,train
20160517,0,3472,6965,9076,10791,2037,45523,13182
20160518,0,3600,7135,9422,11198,4026,48563,13182
20160519,0,3799,7394,9940,11814,5748,51877,13182
20160520,0,4315,8065,11291,13414,7497,57764,13182
20160521,0,4352,8113,11385,13531,10953,61516,13182
20160522,0,3238,6665,8480,10073,4310,45948,13182
20160523,0,3404,6879,8903,10586,4511,47465,13182
20160524,0,3351,6808,8763,10418,2009,44531,13182
20160525,0,4078,7759,10678,12684,2009,50390,13182
20160526,0,4774,8664,12500,14841,488,54449,13182
20160527,0,4710,8579,12328,14639,488,53926,13182
20160528,0,4371,8140,11448,13588,7153,57882,13182
20160529,0,3539,7055,9265,11000,3002,47043,13182
20160530,0,3034,6399,7946,9436,0,39997,13182
20160531,0,2736,6009,7160,8505,0,37592,13182
20160601,0,3036,6401,7946,9446,0,40011,13182
20160602,0,3820,7422,10003,11876,2426,48729,13182
20160603,0,4011,7671,10506,12470,2426,50266,13182
20160604,0,3952,7594,10349,12286,9294,56657,13182
20160605,0,2709,5976,7098,8427,3064,40456,13182
20160606,0,2856,6167,7475,8887,0,38567,13182
20160607,0,3026,6385,7914,9407,2009,41923,13182
20160608,0,3195,6608,8370,9934,2009,43298,13182
20160609,0,3496,7000,9154,10873,2037,45742,13182
20160610,0,3952,7595,10349,12292,2037,49407,13182
20160611,0,4030,7696,10553,12533,13165,61159,13182
20160612,0,3281,6720,8589,10204,6935,48911,13182
20160613,0,3060,6433,8008,9522,4919,45124,13182
20160614,0,2873,6188,7521,8935,2492,41191,13182
20160615,0,2929,6260,7663,9106,1871,41011,13182
20160616,0,3557,7080,9312,11065,3713,47909,13182
20160617,0,4062,7736,10631,12631,1841,50083,13182
20160618,0,4075,7753,10663,12673,9294,57640,13182
20160619,0,3150,6547,8244,9790,3064,43977,13182
20160620,0,3184,6594,8338,9902,0,41200,13182
20160621,0,3351,6812,8778,10421,2009,44553,13182
20160622,0,3750,7330,9815,11659,4046,49782,13182
20160623,0,3977,7626,10411,12368,6407,53971,13182
20160624,0,4315,8064,11291,13411,4858,55121,13182
20160625,0,3977,7626,10411,12367,9721,57284,13182
20160626,0,3324,6775,8699,10335,3002,45317,13182
20160627,0,3423,6906,8967,10646,0,43124,13182
20160628,0,3241,6667,8480,10080,0,41650,13182
20160629,0,3241,6667,8480,10079,0,41649,13182
20160630,0,3367,6831,8809,10473,0,42662,13182
20160701,0,3987,7640,10442,12396,0,47647,13182
20160702,0,4105,7791,10741,12763,9980,58562,13182
20160703,0,3358,6821,8793,10445,3064,45663,13182
20160704,0,3479,6978,9108,10822,2426,45995,13182
20160705,0,3560,7081,9312,11068,4172,48375,13182
20160706,0,3772,7360,9877,11729,4172,50092,13182
20160707,0,4044,7712,10584,12572,3343,51437,13182
20160708,0,4439,8228,11620,13802,5357,56628,13182
20160709,0,4328,8081,11322,13454,10751,61118,13182
20160710,0,3813,7413,9987,11855,3753,50003,13182
20160711,0,3716,7284,9720,11553,2652,48107,13182
20160712,0,3971,7619,10396,12351,0,47519,13182
20160713,0,3984,7634,10427,12386,0,47613,13182
20160714,0,4382,8155,11479,13625,2532,53355,13182
20160715,0,4255,7987,11133,13231,5064,54852,13182
